"ID","articulo","marca","especificaciones","precio","pag_url"
164,"guayos","NIKE","Guayos Nike Vapor 16 Club Fg/Mg Azul 10.5 Azul",379990,"https://www.exito.com/guayos-nike-vapor-16-club-fgmg-azul-104282648-mp/p?color=Azul"
165,"tenis","NIKE","Tenis Para Hombre 10GRIS",265993,"https://www.exito.com/tenis-nike-hombre-deportivos-ck2944-3175288/p?color=Gris"
166,"tenis","NIKE","Tenis Para Hombre 7AZUL OSCU",265993,"https://www.exito.com/tenis-nike-hombre-deportivos-ck2944-3175288/p?color=AZUL%20OSCU"
167,"tenis","NIKE","Tenis Para Hombre 10.5BLANCO",265993,"https://www.exito.com/tenis-nike-hombre-deportivos-ck2944-3175288/p?color=Blanco"
168,"tenis","NIKE","Tenis Hombre 10GRIS",244993,"https://www.exito.com/tenis-hombre-nike-dv2436-3154978/p?color=Gris"
169,"tenis","NIKE","Tenis Hombre 13NEGRO",244993,"https://www.exito.com/tenis-hombre-nike-dv2436-3154978/p?color=Negro"
170,"tenis","SKECHERS","Tenis Hombre Go Run Elevate 8NEGRO",244930,"https://www.exito.com/tenis-hombre-skechers-hombre-deportivos-220850bkcc-3202166/p?color=Negro"
171,"tenis","SKECHERS","Tenis De Hombre Go Walk Flex 9NEGRO",209930,"https://www.exito.com/tenis-de-hombre-skechers-hombre-deportivos-216494bbk-3207588/p?color=Negro"
172,"tenis","NIKE","Tenis Hombre 7NEGROBCO",244993,"https://www.exito.com/tenis-hombre-nike-dh3162-3154976/p?color=NEGRO-BCO"
173,"tenis","SKECHERS","Tenis Hombre Edgeri 8AZUL",209930,"https://www.exito.com/tenis-hombre-skechers-hombre-deportivos-232837nvlm-3202172/p?color=Azul"
174,"tenis","REEBOK MARCA EXCLUSIVA","Tenis Hombre Club C 85 9BLANCO",251930,"https://www.exito.com/tenis-reebok-marca-exclusiva-hombre-deportivos-100000155-3181877/p?color=Blanco"
175,"tenis","NIKE","Tenis Hombre 11NEGROBCO",244993,"https://www.exito.com/tenis-hombre-nike-dh3160-3154975/p?color=NEGRO-BCO"
176,"tenis","SKECHERS","Tenis Hombre DLux Walker 9NEGRO",251930,"https://www.exito.com/tenis-hombre-dlux-walker-skechers-232044bkw-3155596/p?color=Negro"
177,"tenis","SKECHERS","Tenis De Hombre Go Run Now 8AZUL",258930,"https://www.exito.com/tenis-de-hombre-skechers-hombre-deportivos-220380slt-3207589/p?color=Azul"
178,"tenis","GENERICO MARCA EXCLUSIVA","Tennis Air Force One Blancos 40 blanco",199999,"https://www.exito.com/tennis-air-force-one-blancos-102760148-mp/p?color=blanco"
179,"tenis","SKECHERS","Tenis De Hombre Go Walk Flex 8AZUL",209930,"https://www.exito.com/tenis-de-hombre-skechers-hombre-deportivos-216494nvy-3207592/p?color=Azul"
180,"tenis","REEBOK MARCA EXCLUSIVA","Tenis Deportivos Exofit Lo 8.5BLANCO",265930,"https://www.exito.com/tenis-reebok-marca-exclusiva-hombre-moda-exofit-lo-3202027/p?color=Blanco"
181,"tenis","REEBOK MARCA EXCLUSIVA","Tenis Hombre Court Advance 9BLANCO",209930,"https://www.exito.com/tenis-hombre-reebok-marca-exclusiva-hombre-deportivos-100202640-3189579/p?color=Blanco"
182,"tenis","REEBOK MARCA EXCLUSIVA","Tenis Deportivos Court Advance 7.5BLANCO",209930,"https://www.exito.com/tenis-reebok-marca-exclusiva-hombre-moda-court-advance-3202035/p?color=Blanco"
183,"tenis","REEBOK MARCA EXCLUSIVA","Tenis Hombre Reebok Smash Edge S 6.5NEGRO",188930,"https://www.exito.com/tenis-reebok-marca-exclusiva-hombre-deportivos-100008254-3181879/p?color=Negro"
184,"tenis","SKECHERS","Tenis De Hombre Glide Step 8GRIS",279930,"https://www.exito.com/tenis-de-hombre-skechers-hombre-deportivos-232930gycc-3207590/p?color=Gris"
185,"tenis","REEBOK MARCA EXCLUSIVA","Tenis Hombre Training Flexagon Ener 9.5AZUL",174930,"https://www.exito.com/tenis-reebok-hombre-deportivos-3164035/p?color=Azul"
186,"tenis","NIKE","Talla :-10-",419965,"https://www.exito.com/nike-lebron-witness-viii-tenis-azul-de-hombre-para-baloncesto-124126263/p?color=azul_%230101DF"
187,"tenis","UNDER ARMOUR","Talla :-10-",239970,"https://www.exito.com/ua-lockdown-6-tenis-rojo-de-hombre-para-baloncesto-123780494/p?color=ROJO_%23FF0000"
188,"tenis","EVERLAST","Tenis Deportivo Hombre 39AZUL/NGRO",209993,"https://www.exito.com/tenis-deportivo-hombre-everlast-tunelc5-3096462/p?color=AZUL%2FNGRO"
189,"tenis","CROYDON","Tenis Running Lemis Para Hombre 39 Blanco",68400,"https://www.exito.com/tenis-running-lemis-para-hombre-103340706-mp/p?color=Blanco"
190,"tenis","CROYDON","Tenis Indus Gris Para Hombre Croydon 38 Gris",54900,"https://www.exito.com/tenis-indus-gris-para-hombre-croydon-102935356-mp/p?color=Gris"
191,"tenis","ADIDAS","ID2703-10.5",332950,"https://www.exito.com/tenis-adidas-hombre-duramo-rc-id2703-124130513/p"
192,"tenis","CROYDON","Tenis Running Plip Para Niño Croydon 36 Blanco",119900,"https://www.exito.com/tenis-running-plip-para-nino-croydon-103729764-mp/p?color=Blanco"
193,"tenis","NEW BALANCE","Tenis New Balance 410 Verde 10.5 Verde",399990,"https://www.exito.com/tenis-new-balance-410-verde-104258225-mp/p?color=Verde"
194,"tenis","REEBOK MARCA EXCLUSIVA","Talla :-7.5-",323955,"https://www.exito.com/reebok-energen-tech-plus-tenis-negro-de-hombre-para-correr-123800740/p?color=negro_%23000000"
195,"tenis","ASICS","Talla :-10-",239960,"https://www.exito.com/asics-upcourt-6-tenis-azul-de-hombre-para-indoor-124131870/p?color=azul_%230101DF"
196,"tenis","PUMA","Talla :-9-",215970,"https://www.exito.com/puma-future-7-play-fg-ag-guayos-negro-de-hombre-para-futbol-124121325/p?color=negro_%23000000"
197,"tenis","NIKE","DD0204-005-9.5",456900,"https://www.exito.com/tenis-nike-quest-5-negro-hombre---dd0204-005-124130394/p"
198,"tenis","CROYDON","Tenis Running Kriv Para Hombre Croydon Croydon 43 Azul-Oscuro",109900,"https://www.exito.com/tenis-running-kriv-para-hombre-croydon-croydon-104298238-mp/p?color=Azul-Oscuro"
199,"tenis","CROYDON","Tenis Running Plip Para Niño Croydon 35 Azul",119900,"https://www.exito.com/tenis-running-plip-para-nino-croydon-103729787-mp/p?color=Azul"
200,"tenis","ADIDAS","Talla :-8.5-",349965,"https://www.exito.com/adidas-duramo-speed-m-tenis-blanco-de-hombre-para-correr-124131842/p?color=blanco_%23ffffff"
201,"tenis","AVIA","Tenis Avia John Para Hombre Gris Oscuro 9 Gris",129990,"https://www.exito.com/tenis-avia-john-para-hombre-gris-oscuro-104296427-mp/p?color=Gris"
202,"tenis","UNDER ARMOUR","Talla :-8.5-",299970,"https://www.exito.com/ua-charged-decoy-tenis-gris-de-hombre-para-correr-124120569/p?color=gris_%23A4A4A4"
203,"tenis","CROYDON","Tenis Running Ludor Para Hombre 38 Blanco-Azul-Oscuro",129900,"https://www.exito.com/tenis-running-ludor-para-hombre-103340741-mp/p?color=Blanco-Azul-Oscuro"
204,"tenis","NIKE","FD6725-300-9.5",479950,"https://www.exito.com/guayos-nike-hombre-phantom-luna-2-academy-fd6725-300-124134834/p"
205,"tenis","ADIDAS","IE8135-11",359950,"https://www.exito.com/tenis-adidas-hombre-galaxy-6-ie8135-124131114/p"
206,"tenis","BROOKS","Blue/Navy/Firecracker 8.0",299400,"https://www.exito.com/tenis-brooks-divide-4-hombre-123795870/p?color=Azul"
207,"tenis","BROOKS","Navy/Firecracker/Sharp Green 9",299400,"https://www.exito.com/tenis-brooks-divide-4-hombre-123795870/p?color=Azul%2FNaranja"
208,"tenis","BROOKS","Gunmetal/Surf the Web/Sulphur 10.0",299400,"https://www.exito.com/tenis-brooks-divide-4-hombre-123795870/p?color=Gris%2Fazul"
209,"tenis","ADIDAS","Talla :-8.5-",199950,"https://www.exito.com/adidas-response-runner-u-tenis-blanco-unisex-para-correr-124133921/p?color=blanco_%23ffffff"
210,"tenis","FILA","Tenis Fila Lecianmer Running Verde/Naranja 9 Verde",179990,"https://www.exito.com/tenis-fila-lecianmer-running-verdenaranja-104252238-mp/p?color=Verde"
211,"tenis","NIKE","Talla :-10-",419965,"https://www.exito.com/nike-lebron-witness-viii-tenis-azul-de-hombre-para-baloncesto-124132074/p?color=azul_%230101DF"
212,"tenis","NIKE","DJ1196-002-9",369950,"https://www.exito.com/tenis-nike-defyallday-hombre---dj1196-002-124131045/p"
213,"tenis","ADIDAS","Talla :-9.5-",479960,"https://www.exito.com/adidas-adizero-sl2-m-tenis-verde-de-hombre-para-correr-124131883/p?color=Verde_%2301DF01"
214,"tenis","CROYDON","Tenis Running Esnul Para Hombre Croydon 38 Gris",139900,"https://www.exito.com/tenis-running-esnul-para-hombre-croydon-103729826-mp/p?color=Gris"
215,"tenis","ARKITECT","Tenis Cortes Malla 39CAFE",90993,"https://www.exito.com/tenis-arkitect-hombre-moda-ln24076-3175784/p?color=Cafe"
216,"tenis","CUSTER","Tenis Casual Con Costuras En Contraste 41NEGRO",139990,"https://www.exito.com/tenis-custer-hombre-moda-sm25016-3208481/p?color=Negro"
217,"tenis","NORTH STAR","Talla 42",169900,"https://www.exito.com/tenis-casuales-negro-north-star-gizon-new-petronas-hombre-124119861/p"
218,"tenis","SKECHERS","Tenis De Hombre Octus 10NEGRO",279930,"https://www.exito.com/tenis-de-hombre-skechers-hombre-deportivos-232735nvlm-3210209/p?color=Negro"
219,"tenis","SKECHERS","Tenis De Hombre Go Run Now 9AZUL",209930,"https://www.exito.com/tenis-de-hombre-skechers-hombre-deportivos-220383nvy-3210206/p?color=Azul"
220,"tenis","PEOPLE","Tenis Plano Con Pieza En Contraste 43BLANCO",139990,"https://www.exito.com/tenis-people-hombre-moda-sm25019-3208482/p?color=Blanco"
221,"tenis","PEOPLE","Tenis Tipo Samba 40CAFECLARO",129990,"https://www.exito.com/tenis-people-hombre-moda-ln25033-3208480/p?color=CAFECLARO"
222,"tenis","ARKITECT","Tenis&nbsp; C/Cortes Contraste 41BLANCO",139990,"https://www.exito.com/tenis-arkitect-hombre-moda-ln25026-3208479/p?color=Blanco"
223,"tenis","ARKITECT","Tenis Casual 38VDEMILITA",139990,"https://www.exito.com/tenis-arkitect-hombre-moda-ln25025-3208478/p?color=VDEMILITA"
224,"tenis","ARKITECT","Tenis Casual 41MIEL",139990,"https://www.exito.com/tenis-arkitect-hombre-moda-ln25024-3208477/p?color=Miel"
225,"tenis","ARKITECT","Tenis Casual C/ Material Texturizado 43CAFE",139990,"https://www.exito.com/tenis-arkitect-hombre-moda-ln25023-3208476/p?color=Cafe"
226,"tenis","PEOPLE","Tenis Deportivo 40NAVY",139990,"https://www.exito.com/tenis-people-hombre-moda-ln25020-3208475/p?color=NAVY"
227,"tenis","ARKITECT","Tenis Plano 38NAVY",139990,"https://www.exito.com/tenis-arkitect-hombre-moda-sm25022-3208474/p?color=NAVY"
228,"tenis","PEOPLE","Tenis Plano Con Pieza En Contraste&nbsp; 38BLANCO",139990,"https://www.exito.com/tenis-people-hombre-moda-sm25021-3208473/p?color=Blanco"
229,"tenis","CUSTER","Tenis Plano Con Piezas En Contraste 39AZUL",139990,"https://www.exito.com/tenis-custer-hombre-moda-ln25018-3208472/p?color=Azul"
230,"tenis","SKECHERS","Tenis Hombre Go Run Elevate 8AZUL",244930,"https://www.exito.com/tenis-hombre-skechers-hombre-deportivos-220850nvy-3202167/p?color=Azul"
231,"tenis","BRONZINI ACTIVE","Tenis Para Hombre 41NEGRO",129990,"https://www.exito.com/tenis-bronzini-active-hombre-deportivos-aw230054m-3184820/p?color=Negro"
232,"tenis","BRONZINI ACTIVE","Tenis Para Hombre 38BLANCO",129990,"https://www.exito.com/tenis-bronzini-active-hombre-deportivos-aa2128m-3184818/p?color=Blanco"
233,"tenis","PEOPLE","Tenis Piezas Y Suela Contraste 38BLANCO",119990,"https://www.exito.com/tenis-people-hombre-moda-ln24037-3175782/p?color=Blanco"
234,"tenis","CUSTER","Zapato Casual Hombre 40NEGRO",139990,"https://www.exito.com/zapato-custer-hombre-moda-lg24030-3175781/p?color=Negro"
235,"tenis","PEOPLE","Tenis Deportivo Negro 40NEGRO",129990,"https://www.exito.com/tenis-people-3162807/p?color=Negro"
236,"tenis","ARKITECT","Tenis Plano Blanco 40BLANCO",83993,"https://www.exito.com/tenis-arkitect-3162806/p?color=Blanco"
237,"tenis","CUSTER","Tenis Formal Con Suela Moda 41MIEL",119990,"https://www.exito.com/tenis-custer-3162801/p?color=Miel"
238,"tenis","CUSTER","Tenis Casual Miel Con Navy 39MIEL",119990,"https://www.exito.com/tenis-custer-3162799/p?color=Miel"
239,"tenis","PEOPLE","Tenis Hombre Chunky 39GRIS",139990,"https://www.exito.com/tenis-hombre-chunky-people-ln24025-3157178/p?color=Gris"
240,"tenis","ARKITECT","Tenis Hombre C/Piezas 40CAFE",90993,"https://www.exito.com/tenis-hombre-cpiezas-arkitect-lg24016-3157176/p?color=Cafe"
241,"tenis","ARKITECT","Tenis Casual Hombre 40CAFE",90993,"https://www.exito.com/tenis-casual-hombre-arkitect-lg24006-3157175/p?color=Cafe"
242,"tenis","SWISSBRAND","Tenis Deportivo Dank Hombre 42VERDE",319990,"https://www.exito.com/tenis-deportivo-dank-hombre-swissbrand-871517305-3138292/p?color=Verde"
243,"tenis","BRONZINI ACTIVE","Tenis Para Hombre 39GRISCLARO",129990,"https://www.exito.com/tenis-para-hombre-bronzini-active-ad0636m-3136807/p?color=GRISCLARO"
244,"tenis","EVERLAST","Tenis Deportivo Hombre 40GRIS/NEGR",209993,"https://www.exito.com/tenis-deportivo-hombre-everlast-tunelc3-3096455/p?color=GRIS%2FNEGR"
245,"tenis","AEROFLEX","Tenis Casual 38 GRIS",119900,"https://www.exito.com/tenis-casual-aeroflex-gx3392-3082466/p?color=Gris"
246,"tenis","AEROFLEX","Tenis Hombre 41 NEGROROJO",107030,"https://www.exito.com/tenis-hombre-aeroflex-ma8818-3051224/p?color=NEGROROJO"
247,"tenis","AEROFLEX","Zapato Jogger Deportivo Hombre 41 NEGRO",244900,"https://www.exito.com/zapato-jogger-aeroflex-mc8717-3023093/p?color=Negro"
248,"tenis","NIKE","DA1189-001-8.5",343900,"https://www.exito.com/futsal-nike-legend-9-club-ic-negrohombre---da1189-001-124136619/p"
249,"tenis","ADIDAS","IE6133-10",297950,"https://www.exito.com/tenis-adidas-hombre-lite-racer-4-0-ie6133-124136598/p"
250,"tenis","ADIDAS","JH7106-8",386950,"https://www.exito.com/tenis-adidas-hombre-barreda-jh7106-124136595/p"
252,"tenis","ADIDAS","GY5975-10",269950,"https://www.exito.com/tenis-adidas-hombre-lite-racer-cln-2-0-azul-gy5975-124136528/p"
253,"tenis","NIKE","DJ5968-600-9.5",363900,"https://www.exito.com/torretin-nike-hombre-mercurial-vapor-15-club-tf-gris-naranja-dj5968-600-124136524/p"
